DoctorID,DoctorName,DistinctPatients,TotalVisits
D124,Dr. Ravi Malhotra,154,154
D127,Dr. Sneha Reddy,154,154
D130,Dr. Divya Singh,154,154
D132,Dr. Raj Singh,154,154
D135,Dr. Meera Joshi,154,154
D138,Dr. Amit Malhotra,154,154
D140,Dr. Anita Verma,154,154
D143,Dr. Raj Joshi,154,154
D146,Dr. Neha Singh,154,154
D148,Dr. Neha Gupta,154,154
D151,Dr. Arjun Gupta,154,154
D154,Dr. Pooja Khan,154,154
D156,Dr. Raj Patel,154,154
D159,Dr. Arjun Mehra,154,154
D164,Dr. Neha Sharma,154,154
D167,Dr. Neha Sharma,154,154
D170,Dr. Priya Patel,154,154
D172,Dr. Neha Sharma,154,154
D175,Dr. Vikram Khan,154,154
D180,Dr. Anita Patel,154,154
D183,Dr. Ravi Gupta,154,154
D186,Dr. Raj Joshi,154,154
D188,Dr. Ravi Joshi,154,154
D196,Dr. Meera Mehra,154,154
D199,Dr. Suresh Patel,154,154
D007,Dr. Pooja Mehra,153,153
D010,Dr. Tanya Patel,153,153
D020,Dr. Priya Joshi,153,153
D023,Dr. Manish Malhotra,153,153
D036,Dr. Nisha Reddy,153,153
D039,Dr. Nisha Sharma,153,153
D052,Dr. Divya Gupta,153,153
D068,Dr. Vikram Khan,153,153
D162,Dr. Divya Reddy,153,153
D178,Dr. Pooja Patel,153,153
D191,Dr. Suresh Singh,153,153
D194,Dr. Suresh Khan,153,153
